,BATHRM,HF_BATHRM,BATHROOMS,AC1IsYes,NUM_UNITS,ROOMS,BEDRM,EYB,STORIES,YearSold,Month,Winter,Spring,Summer,PRICE,logPrice,GrossBuildingArea,RowInside,RowEnd,Multi,SemiDetached,Single,TownEnd,TownInside,GradeLowerBetter,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,USECODE,LANDAREA,Residential_0/Condo_1,ASSESSMENT_NBHD,CongressHeights,Deanwood,RandleHeights,FortDupontPark,MichiganPark,MarshallHeights,ColumbiaHeights,Brookland,Trinidad,Hillcrest,Burleith,Anacostia,LilyPonds,BarryFarms,Petworth,Woodridge,OldCity1,Brentwood,Eckington,MtPleasant,FortLincoln,RiggsPark,StreetHeights16th,OldCity2,TakomaPark,Brightwood,Chillum,CapitolHill,LedroitPark,ChevyChase,ShepherdHeights,Georgetown,AmericanUniversity,FoggyBottom,Kent,WesleyHeights,Palisades,GloverPark,Crestwood,ClevelandPark,ColonialVillage,SouthwestWaterfront,Foxhall,NorthClevelandPark,Hawthorne,SpringValley,Wakefield,Centraltri1,Berkley,Garfield,ForestHills,ObservatoryCircle,Kalorama,Woodley,MassachusettsAvenueHeights,ASSESSMENT_SUBNBHD,CENSUS_TRACT,CENSUS_BLOCK,Ward,Ward2,Ward3,Ward4,Ward5,Ward6,Ward7,SQUARE,X,Y,QUADRANT,NW,NE,SW
91144,1,0,1,1,1,5,2,1956,2,2015,4,0,1,0,125000,5.097,800,0,0,0,1,0,0,0,3,Average,Common Brick,Comp Shingle,Hardwood,1,0,13,2168,0,Marshall Heights,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,033 A Marshall Heights,9906,009906 1006,7,0,0,0,0,0,1,5347,-76.93410727,38.88709537,SE,0,0,0
93407,2,0,2,0,1,6,3,1943,2,2018,6,0,0,1,130000,5.114,1440,1,0,0,0,0,0,0,3,Average,Common Brick,Built Up,Hardwood,1,0,11,1689,0,Fort Dupont Park,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,022 A Fort Dupont Park,7708,007708 2006,7,0,0,0,0,0,1,5427,-76.95830856,38.88663214,SE,0,0,0
105887,2,0,2,1,1,6,3,1971,2,2018,6,0,0,1,130200,5.115,1184,0,0,0,1,0,0,0,3,Very Good,Common Brick,Built Up,Hardwood,1,0,13,1446,0,Congress Heights,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,016 B Congress Heights,9803,009803 1002,8,0,0,0,0,0,0,6090,-77.00458549,38.8386242,SE,0,0,0
89809,2,0,2,0,2,6,2,1951,2,2015,7,0,0,1,131000,5.117,1184,0,0,1,0,0,0,0,3,Average,Common Brick,Built Up,Hardwood,2,0,23,1575,0,Deanwood,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,018 C Deanwood,7807,007807 1008,7,0,0,0,0,0,1,5259,-76.9169257,38.89630818,NE,0,1,0
92002,1,0,1,0,1,5,2,1956,2,2018,5,0,1,0,135000,5.13,832,0,0,0,1,0,0,0,3,Average,Common Brick,Comp Shingle,Hardwood,1,0,13,1195,0,Deanwood,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,018 C Deanwood,7808,007808 2009,7,0,0,0,0,0,1,5269,-76.91051093,38.89289789,NE,0,1,0
89787,1,0,1,0,1,5,2,1944,2,2018,6,0,0,1,136500,5.135,810,0,0,0,1,0,0,0,3,Average,Brick/Siding,Comp Shingle,Hardwood,1,0,13,2420,0,Deanwood,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,018 B Deanwood,7809,007809 1001,7,0,0,0,0,0,1,5176,-76.92872104,38.90267575,NE,0,1,0
84792,2,0,2,0,2,6,2,1950,2,2018,5,0,1,0,140000,5.146,1190,0,0,1,0,0,0,0,3,Average,Common Brick,Built Up,Hardwood,2,0,23,2313,0,Deanwood,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,018 A Deanwood,7803,007803 4001,7,0,0,0,0,0,1,5091,-76.9413671,38.89700551,NE,0,1,0
88655,1,0,1,0,1,5,3,1943,2,2018,6,0,0,1,140000,5.146,1312,0,1,0,0,0,0,0,3,Average,Stucco,Comp Shingle,Hardwood,1,1,12,5137,0,Deanwood,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,018 B Deanwood,7806,007806 1004,7,0,0,0,0,0,1,5202,-76.92786366,38.90638528,NE,0,1,0
91161,1,0,1,0,1,5,2,1954,1,2018,3,0,1,0,140000,5.146,660,0,1,0,0,0,0,0,3,Fair,Wood Siding,Comp Shingle,Hardwood,1,0,12,4000,0,Marshall Heights,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,033 A Marshall Heights,9904,009904 2001,7,0,0,0,0,0,1,5328,-76.92888935,38.88826866,SE,0,0,0
93425,1,0,1,1,1,6,2,1960,2,2015,1,1,0,0,140000,5.146,832,0,0,0,1,0,0,0,3,Average,Common Brick,Comp Shingle,Hardwood,1,0,13,1595,0,Fort Dupont Park,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,022 C Fort Dupont Park,9907,009907 1002,7,0,0,0,0,0,1,5392,-76.94202198,38.8812103,SE,0,0,0
